DATE,TATASTEEL
31-12-2014,399.4
01-01-2015,404.45
04-01-2015,323.65
06-01-2015,329.65
07-01-2015,306.95
09-01-2015,216.3
10-01-2015,212.25
12-01-2015,237.55
13-01-2015,391.5
14-01-2015,376.85
15-01-2015,384.75
16-01-2015,383.4
19-01-2015,384.75
20-01-2015,402
21-01-2015,397.1
22-01-2015,403.4
23-01-2015,403.1
27-01-2015,398.4
28-01-2015,391.15
29-01-2015,390.4
30-01-2015,390.45
01-02-2015,410.75
02-02-2015,383.85
03-02-2015,352.55
06-02-2015,321.75
07-02-2015,304.35
09-02-2015,219.5
11-02-2015,238.9
12-02-2015,243.85
13-02-2015,366.55
16-02-2015,369.8
18-02-2015,367.5
19-02-2015,375.25
20-02-2015,374.7
23-02-2015,367.35
24-02-2015,359.1
25-02-2015,350.9
26-02-2015,345.2
27-02-2015,350.65
28-02-2015,355.25
02-03-2015,381.1
03-03-2015,353.15
06-03-2015,316.25
07-03-2015,301.2
08-03-2015,247.95
09-03-2015,229.75
11-03-2015,235.7
12-03-2015,240.15
13-03-2015,326.5
16-03-2015,326.2
17-03-2015,332.55
18-03-2015,331.75
19-03-2015,336.6
20-03-2015,328.7
23-03-2015,331.4
24-03-2015,327.15
25-03-2015,323.15
26-03-2015,315.6
27-03-2015,315.1
30-03-2015,322.4
31-03-2015,316.75
02-04-2015,389.2
03-04-2015,348.15
05-04-2015,361.65
06-04-2015,308.05
08-04-2015,256.3
09-04-2015,218.9
11-04-2015,235.4
12-04-2015,240.25
13-04-2015,345.2
15-04-2015,337.65
16-04-2015,337.7
17-04-2015,346
20-04-2015,344.45
21-04-2015,348.25
22-04-2015,351.35
23-04-2015,369.45
24-04-2015,370.5
27-04-2015,368.9
28-04-2015,371.25
29-04-2015,369.95
30-04-2015,360.35
01-05-2015,416.7
02-05-2015,379.25
03-05-2015,343.25
05-05-2015,380.1
06-05-2015,311.1
08-05-2015,262.3
10-05-2015,225
11-05-2015,225.4
13-05-2015,359.5
14-05-2015,366.4
15-05-2015,364.1
18-05-2015,364.15
19-05-2015,368.35
20-05-2015,361.3
21-05-2015,342.25
22-05-2015,341.3
25-05-2015,332
26-05-2015,332.85
27-05-2015,328.15
28-05-2015,324.7
29-05-2015,328.5
01-06-2015,396.5
02-06-2015,368.65
04-06-2015,318.1
05-06-2015,367.65
07-06-2015,299
08-06-2015,261
10-06-2015,227.5
11-06-2015,220.25
15-06-2015,297
16-06-2015,294.45
17-06-2015,305.05
18-06-2015,303.7
19-06-2015,304.95
22-06-2015,310.65
23-06-2015,313.05
24-06-2015,304.55
25-06-2015,302.7
26-06-2015,298.65
29-06-2015,296.3
30-06-2015,304.6
01-07-2015,388.9
04-07-2015,333.5
05-07-2015,367.3
07-07-2015,298.2
08-07-2015,262.05
09-07-2015,215.85
10-07-2015,236.8
12-07-2015,243.55
13-07-2015,284.45
14-07-2015,281.15
15-07-2015,280.4
16-07-2015,280.8
17-07-2015,284.05
20-07-2015,283.55
21-07-2015,274.7
22-07-2015,280.4
23-07-2015,269.9
24-07-2015,265.05
27-07-2015,250.75
28-07-2015,249.25
29-07-2015,250.55
30-07-2015,248.15
31-07-2015,246.9
01-08-2015,394.95
04-08-2015,336.1
